Jahr,Delikt,Geschlecht,Beziehungsart,Fälle,Straftaten_Total,davon_versucht,davon_mehrfach,Anzahl_geschaedigter_Personen_Total,<10 Jahre,10 - 19 Jahre,20 - 29 Jahre,30 - 39 Jahre,40 - 49 Jahre,50 - 59 Jahre,60 - 69 Jahre,70 Jahre und +
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,Alle,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   Eltern-Kind-Beziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Verleitung und Beihilfe zum Selbstmord (Art. 115),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),Total,Alle,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,Alle,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,   Eltern-Kind-Beziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),männlich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,Alle,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,   Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,   ehemalige Partnerschaft,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,   Eltern-Kind-Beziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art. 118 Abs. 2),weiblich,   andere Verwandtschaftsbeziehung,,,,,0,0,0.0,0.0,0.0,0,0,0,0
2009,Schwere Körperverletzung (Art. 122),Total,Alle,53.0,55.0,3.0,4.0,56,9,8.0,13.0,11.0,7,4,3,1
2009,Schwere Körperverletzung (Art. 122),männlich,Alle,,,,,14,4,1.0,3.0,1.0,2,2,1,0
2009,Schwere Körperverletzung (Art. 122),männlich,   Partnerschaft,,,,,4,0,0.0,1.0,1.0,1,0,1,0
2009,Schwere Körperverletzung (Art. 122),männlich,   ehemalige Partnerschaft,,,,,4,0,0.0,2.0,0.0,1,1,0,0
2009,Schwere Körperverletzung (Art. 122),männlich,   Eltern-Kind-Beziehung,,,,,4,4,0.0,0.0,0.0,0,0,0,0
2009,Schwere Körperverletzung (Art. 122),männlich,   andere Verwandtschaftsbeziehung,,,,,2,X,0.0,0.0,0.0,X,X,X,X
2009,Schwere Körperverletzung (Art. 122),weiblich,Alle,,,,,42,5,7.0,10.0,10.0,5,2,2,1
2009,Schwere Körperverletzung (Art. 122),weiblich,   Partnerschaft,,,,,22,0,2.0,7.0,8.0,3,1,1,0
2009,Schwere Körperverletzung (Art. 122),weiblich,   ehemalige Partnerschaft,,,,,9,0,2.0,2.0,2.0,2,1,0,0
2009,Schwere Körperverletzung (Art. 122),weiblich,   Eltern-Kind-Beziehung,,,,,9,5,3.0,1.0,0.0,0,0,0,0
2009,Schwere Körperverletzung (Art. 122),weiblich,   andere Verwandtschaftsbeziehung,,,,,2,X,0.0,0.0,0.0,X,X,X,X
2009,Einfache Körperverletzung (Art. 123),Total,Alle,2161.0,2345.0,21.0,212.0,2297,78,263.0,578.0,638.0,473,174,70,23
2009,Einfache Körperverletzung (Art. 123),männlich,Alle,,,,,534,49,84.0,68.0,107.0,126,59,29,12
2009,Einfache Körperverletzung (Art. 123),männlich,   Partnerschaft,,,,,254,0,1.0,29.0,79.0,83,42,13,7
2009,Einfache Körperverletzung (Art. 123),männlich,   ehemalige Partnerschaft,,,,,55,1,0.0,11.0,15.0,17,7,4,0
2009,Einfache Körperverletzung (Art. 123),männlich,   Eltern-Kind-Beziehung,,,,,150,43,69.0,11.0,3.0,10,6,6,2
2009,Einfache Körperverletzung (Art. 123),männlich,   andere Verwandtschaftsbeziehung,,,,,81,5,15.0,18.0,12.0,18,4,6,3
2009,Einfache Körperverletzung (Art. 123),weiblich,Alle,,,,,1763,29,179.0,510.0,531.0,347,115,41,11
2009,Einfache Körperverletzung (Art. 123),weiblich,   Partnerschaft,,,,,1197,0,47.0,361.0,427.0,248,82,25,7
