Delikte
Tötungsdelikte vollendet (Art.111-113/116)
Tötungsdelikte versucht (Art.111-113/116)
Verleitung und Beihilfe zum Selbstmord (Art.115)
Schwangerschaftsabbruch ohne Einwilligung der Schwangeren (Art.118Abs.2)
Schwere Körperverletzung (Art.122)
Einfache Körperverletzung (Art.123)
Verstümmelung weiblicher Genitalien (Art.124)
Tätlichkeiten (Art.126)
Aussetzung (Art.127)
Gefährdung Leben (Art.129)
Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art.136)
Üble Nachrede (Art.173)
Verleumdung (Art.174)
Beschimpfung (Art.177)
Missbrauch einer Fernmeldeanlage (Art.179septies)
Drohung (Art.180)
Nötigung (Art.181)
Zwangsheirat – erzwungene eingetragene Partnerschaft (Art.181a)
Freiheitsberaubung und Entführung (Art.183)
Freiheitsberaubung und Entführung: erschwerende Umstände (Art.184)
Geiselnahme (Art.185)
Sexuelle Handlungen mit Kindern (Art.187)
Sexuelle Handlungen mit Abhängigen (Art.188)
Sexuelle Nötigung (Art.189)
Vergewaltigung (Art.190)
Schändung (Art.191)
Ausnützung der Notlage (Art.193)
Sexuelle Belästigungen (Art.198)
Strafbare Vorbereitungshandlungen (Art.260bis)
